name,followers,following,posts,bio_length,has_profile_picture,has_external_link,is_verified,engagement_rate,suspicious_activity,post_frequency,account_age_days,account_type
Michael Davis1994,2527,814,19,26,False,True,False,0.018758641032895734,False,spammy,294,fake
Fiona Anderson,98661,279,210,25,True,True,False,0.08275738023071595,False,occasional,1045,real
Eve Davis78,28823,358,210,54,True,False,False,0.010956429969150782,False,regular,229,real
Eve Brown,77549,317,118,104,True,False,False,0.025097491331670573,False,regular,746,real
Eve Brown,18987,60,287,95,True,True,False,0.052095570645318307,False,occasional,296,real
Eve Williams,68882,491,479,42,True,False,False,0.09980025365810849,False,occasional,933,real
Eve Jones39,40156,982,304,132,True,True,False,0.04673887240969329,False,occasional,1740,real
Fiona Davis100,76969,555,81,138,True,True,False,0.013913002478539629,False,occasional,881,real
Alice Anderson,50880,364,489,130,True,False,False,0.03935410155637249,False,occasional,315,real
Account437Fake,2844,3366,11,13,False,True,False,0.0188186473608772,True,irregular,80,fake
Jack Smith,47019,53,396,114,True,True,False,0.0973975732907558,False,occasional,1294,real
Alice Davis,89008,698,484,81,True,False,False,0.09712708483822977,False,occasional,1076,real
Profile578Suspicious,3320,2198,49,42,False,True,False,0.0004075792684192736,True,very_low,114,fake
Fiona Moore,95907,655,124,36,True,False,False,0.08850259878304241,False,regular,538,real
Alice Williams,13082,712,303,102,True,False,False,0.04504519393811299,True,occasional,900,real
Ivy Taylor,78150,201,239,147,True,False,False,0.06116166714283186,False,occasional,1113,real
AdidasShop1,3295,2131,50,36,False,True,False,0.010804166782144629,False,irregular,219,fake
3jvi8i_t1,3847,2093,22,32,True,False,False,0.015833380271220915,False,irregular,361,fake
Jack Wilson,44113,979,264,44,True,False,False,0.0365535838707688,False,consistent,1020,real
Eve Jones79,4421,143,432,39,True,True,False,0.07382085428771996,False,occasional,1187,real
Robert Jones2005,3692,3521,46,43,False,False,False,0.009491641202645444,False,irregular,327,fake
Jack Moore,48512,276,479,48,True,False,True,0.07321458145191538,False,occasional,70,real
George Wilson59,72666,857,378,107,True,False,False,0.0785402763942477,False,regular,328,real
Charlie Moore,27314,480,479,134,True,False,True,0.07696211017212044,False,consistent,443,real
Michael Davis1999,2782,3675,45,50,False,True,False,0.0015619860555921372,False,irregular,275,fake
David Jones34,69282,729,290,119,True,False,False,0.02011951170214457,False,occasional,1128,real
Alice Brown69,68054,884,479,34,True,False,False,0.09086691642857934,False,regular,1635,real
Charlie Smith,43279,961,303,88,True,False,False,0.034305490018573616,False,regular,504,real
FashionNovaStore4,310,1133,39,46,False,True,False,0.011176802266327971,False,very_low,87,fake
Michael Davis1986,1004,2733,33,21,True,True,False,0.0015293986074541776,False,irregular,264,fake
Alice Anderson,51183,802,14,58,True,True,False,0.09313706675506173,False,regular,455,real
David Jones,63634,793,89,54,True,True,False,0.011561340444492042,False,occasional,697,real
George Williams,16221,601,380,142,True,False,False,0.09043429810774552,False,consistent,936,real
Fiona Jones,54286,251,319,76,True,False,False,0.07019357256908301,False,regular,598,real
Hannah Miller,74091,381,500,23,True,False,False,0.06887314416458036,False,consistent,1013,real
Michael Davis1987,2165,2030,7,34,False,False,False,0.00044859682567420566,True,spammy,267,fake
David Moore,20221,885,111,128,True,False,False,0.04859592204497743,False,regular,1708,real
Bob Smith,82684,498,208,62,True,False,False,0.0860052393060846,False,regular,352,real
Bob Anderson42,47516,897,247,83,True,False,False,0.08381711838143031,False,regular,933,real
Jane Doe2002,4319,3367,14,10,True,False,False,0.002264113640244381,True,very_low,247,fake
Jane Doe2003,2237,2853,31,41,True,False,False,0.009674022249329674,True,very_low,125,fake
Member686Fake,2212,3550,0,14,False,False,False,0.01713745915094275,True,irregular,132,fake
George Anderson67,57207,281,368,86,True,False,True,0.09822839771859111,False,occasional,1215,real
Robert Jones2001,2086,4282,2,5,False,False,False,0.01837699119293689,True,very_low,211,fake
Alice Moore,29727,549,314,143,True,True,False,0.011954072577611254,False,regular,256,real
David Smith68,17806,125,181,148,True,True,False,0.04656110577830863,False,regular,1728,real
zcrssm5f,4777,2601,8,40,False,False,False,0.015918138526700015,True,irregular,63,fake
George Jones,51572,261,470,90,True,False,False,0.07235610160757605,False,regular,1605,real
Bob Brown,7735,996,28,129,True,False,False,0.06013275939616071,True,regular,48,real
Alice Smith,9352,152,356,133,True,False,False,0.06016564364408832,False,regular,148,real
AdidasOfficial4,4081,3935,47,21,False,True,False,0.015708693242238166,True,very_low,183,fake
Charlie Anderson98,46816,294,198,43,True,False,False,0.06963159747440047,False,regular,966,real
Jack Taylor,4159,349,284,107,True,False,False,0.09375889241542747,False,regular,1229,real
John Smith1999,1455,1612,46,45,False,False,False,0.00248096790121775,True,irregular,228,fake
Hannah Anderson,4413,589,470,44,True,False,False,0.014525767491849872,False,regular,1807,real
Hannah Williams4,28746,202,133,91,True,False,False,0.08901749212036139,False,regular,127,real
Jane Doe1996,4101,4598,29,0,True,False,False,0.010778589848317921,True,irregular,101,fake
Hannah Wilson,16476,663,22,130,True,False,False,0.06676025284739556,False,occasional,1136,real
User978Bot,1003,3763,40,25,False,False,False,0.004668942329019718,True,spammy,281,fake
Fan467Spam,2194,2278,15,13,False,True,False,0.01730891846208862,True,irregular,270,fake
Ivy Taylor,59427,951,73,81,True,True,False,0.09179310003109648,False,regular,1065,real
Profile990Inactive,2977,4632,37,48,False,True,False,0.01285554918217709,True,spammy,120,fake
Profile306Inactive,2731,1488,48,45,False,False,False,0.01844483697709435,True,spammy,16,fake
Charlie Wilson,90948,210,222,149,True,False,False,0.04118522506302735,False,regular,1298,real
Charlie Smith,4787,584,26,51,True,True,False,0.042547256503476065,False,regular,1000,real
Alice Taylor,91438,259,237,122,True,False,True,0.07301463140286707,False,regular,177,real
Robert Jones1998,3967,2007,34,30,False,True,False,0.0016194706369608892,True,irregular,119,fake
George Taylor,61135,623,322,100,True,True,False,0.0842345977674243,False,regular,1638,real
George Moore,17018,432,227,33,True,False,False,0.0648584337950772,False,consistent,1175,real
Jack Smith,21553,570,297,45,True,True,False,0.025018522695221264,False,consistent,311,real
Member373Online,3371,2133,26,21,False,True,False,0.0015250545461928588,True,irregular,130,fake
Charlie Smith,12431,330,381,114,True,False,False,0.04029032947117738,True,occasional,1063,real
Hannah Wilson,21737,340,479,82,True,False,False,0.06552315992291301,False,occasional,1801,real
Hannah Wilson34,92591,236,102,46,True,False,True,0.04485104041766895,False,regular,1209,real
Charlie Wilson78,89134,836,278,79,True,False,False,0.027351419715417533,False,occasional,1043,real
Account482Spam,2268,4909,18,42,False,False,False,0.011544664551328875,False,spammy,65,fake
David Moore,36273,183,45,20,True,False,False,0.07598363472460389,False,regular,486,real
Ivy Davis90,36440,673,24,90,True,True,False,0.07383624471172312,False,regular,1498,real
David Miller71,87568,390,480,89,True,True,False,0.08672702135326808,False,regular,655,real
Hannah Williams35,45874,602,183,45,True,False,False,0.0347395414587454,False,regular,1074,real
Alice Taylor87,52031,237,130,77,True,True,False,0.023216087706395678,False,regular,1379,real
kjosbris6dy,3241,744,16,48,False,True,False,0.00031190429044245297,True,very_low,62,fake
Account958Inactive,1353,2762,38,38,False,True,False,0.003580140766712663,True,irregular,138,fake
s46nw51rnk5u,3828,4424,43,40,False,False,False,0.0014963177968740893,False,irregular,330,fake
Charlie Taylor,97151,417,55,59,True,True,True,0.09540781103122081,False,regular,245,real
Fiona Miller,14022,677,116,78,True,False,True,0.05860636004622051,False,consistent,262,real
Fiona Jones,54865,668,422,53,True,False,False,0.0507184934473874,False,regular,1311,real
Jack Davis,12412,70,234,129,True,False,False,0.039021720270386764,False,regular,869,real
Jack Anderson99,29462,422,102,48,True,False,False,0.07483591137938585,True,occasional,784,real
sm4cfig3de2,1723,3208,17,12,False,True,False,0.01621666746092319,False,irregular,192,fake
Alice Smith,43545,285,80,95,True,False,False,0.04703961121747447,False,regular,79,real
Follower729Inactive,832,2382,34,39,False,True,False,0.00977124055136223,True,irregular,187,fake
Charlie Wilson,16042,675,168,57,True,False,False,0.09056023608506515,False,occasional,103,real
Eve Wilson,82123,777,169,23,True,False,False,0.01170477792036181,False,regular,166,real
Fiona Williams72,88400,69,3,39,True,False,False,0.05315976563576742,False,occasional,217,real
Alice Brown,10609,65,77,137,True,False,False,0.09764623041477583,False,occasional,315,real
Profile711Online,2540,3274,23,40,False,False,False,0.0006140806933158372,False,very_low,296,fake
Follower669Suspicious,227,1077,46,44,False,True,False,0.014151836822357582,False,irregular,220,fake
Eve Wilson,91771,883,376,29,True,False,False,0.0816565302884781,False,regular,172,real
y7zmmqvui,605,1457,35,35,False,False,False,0.006268909081092697,True,very_low,254,fake
Hannah Davis,79501,623,206,44,True,True,False,0.08085953836882506,False,regular,1796,real
AmazonDealsOfficial4,3760,3356,0,32,False,True,False,0.008805027721839465,False,spammy,144,fake
Ivy Brown66,22674,59,125,43,True,False,False,0.04677171124840964,False,regular,735,real
SheinOfficial4,4453,4410,14,30,False,True,False,0.017539038319929777,False,spammy,343,fake
Charlie Smith39,67859,551,281,34,True,False,False,0.08466989677495965,False,consistent,394,real
George Wilson,3639,82,383,89,True,False,False,0.05712190920713919,False,regular,880,real
Charlie Moore,249,447,171,94,True,False,False,0.09913536178875118,True,regular,806,real
Eve Davis,7278,768,371,100,True,False,False,0.08491556482726975,False,regular,325,real
John Smith1990,1964,2346,31,16,False,True,False,0.002058102442822314,False,very_low,33,fake
Eve Smith81,25640,896,485,50,True,False,False,0.03663708681816937,False,regular,307,real
xdv2s4tjyvq,981,1041,35,41,True,False,False,0.011360778973871031,True,irregular,307,fake
Hannah Jones,67805,353,66,59,True,False,True,0.05443640474969511,False,regular,1493,real
David Smith50,87205,792,232,120,True,False,False,0.038509171637858546,False,occasional,1362,real
Jack Taylor15,50124,110,122,149,True,True,True,0.06634381542682317,False,regular,583,real
Account464Spam,875,2243,42,39,True,True,False,0.009865858258591615,False,irregular,278,fake
Jack Miller,14077,533,14,50,True,False,False,0.04380410001361556,False,regular,1182,real
Hannah Moore6,65507,993,12,134,True,False,False,0.02132958117649452,False,regular,834,real
Fiona Miller,26020,766,476,37,True,True,False,0.03647806593534459,False,regular,434,real
Jane Doe1999,415,2816,41,28,False,True,False,0.016329278879626284,True,irregular,197,fake
Jack Miller,55617,148,144,66,True,False,False,0.06487636194981597,False,consistent,1501,real
David Jones,81906,904,308,37,True,False,False,0.037908972663049045,False,occasional,1304,real
Jack Moore13,24177,701,124,150,True,True,False,0.071146905442395,True,regular,363,real
George Moore,76068,900,491,21,True,True,False,0.08700203641294756,False,regular,751,real
Eve Taylor,65940,375,214,113,True,False,False,0.07446900808291768,False,consistent,1697,real
zoctda8jk,1869,1782,17,34,False,True,False,0.009187001159429648,True,spammy,31,fake
SheinDeals4,1080,4873,33,35,False,True,False,0.011766937679590637,False,spammy,125,fake
David Miller,25117,33,305,70,True,False,False,0.010734941801638899,False,occasional,1825,real
George Jones,63127,388,319,94,True,False,False,0.04981514546823938,False,regular,799,real
User239Online,3579,3630,45,10,False,True,False,0.006390497721820332,False,irregular,57,fake
Fan649Inactive,239,1054,34,11,False,True,False,0.008158364218311896,False,irregular,152,fake
Follower275Bot,2163,761,27,14,True,False,False,0.0024870302944052882,True,irregular,339,fake
Jane Doe1998,486,2470,32,32,False,True,False,0.007355264515792874,False,spammy,83,fake
Eve Williams70,28083,396,472,82,True,False,True,0.07432228909908585,False,regular,920,real
George Moore,63578,385,133,40,True,True,False,0.08729101917477641,False,occasional,983,real
0vw6fjjly,650,3333,26,19,False,False,False,0.011373220090697451,True,irregular,124,fake
Fiona Smith73,88177,644,10,55,True,True,False,0.0563992147662887,False,occasional,1292,real
4fbochxyqmjuhfw,1142,2994,28,0,True,True,False,0.009115404451949336,True,irregular,59,fake
szq06rcy6,263,2274,2,40,False,True,False,0.0069399867117705275,True,very_low,157,fake
bz8_q71tvyz,404,4139,16,35,True,False,False,0.01198776273749507,True,irregular,360,fake
Alice Moore,81794,112,311,28,True,False,False,0.011809630942787207,False,occasional,327,real
Follower242Fake,4336,707,45,15,False,False,False,0.011765266646243371,True,irregular,287,fake
c04vwa3lj,4019,3704,3,40,False,True,False,0.001095725562783203,True,irregular,238,fake
Jane Doe1993,1297,929,20,35,False,True,False,0.01713704921397217,True,very_low,178,fake
Ivy Smith,55105,332,253,144,True,False,True,0.08080261583814213,False,occasional,50,real
Eve Anderson,22590,673,419,39,True,False,False,0.013517897318907946,True,consistent,1612,real
Jack Taylor,97814,799,407,39,True,False,False,0.08647867272275819,False,regular,1268,real
Alice Miller,1083,233,97,101,True,False,False,0.0924776828716926,False,regular,1117,real
uv34bvc_ul2bbo,3697,539,46,40,False,True,False,0.0042650364489097824,True,spammy,86,fake
FashionNovaStore4,4228,2735,18,5,True,True,False,0.0018880224562685722,True,irregular,308,fake
Fiona Taylor,8371,893,233,34,True,False,False,0.051447325845358945,False,consistent,1676,real
Charlie Taylor47,78454,544,312,130,True,False,False,0.0689309041711452,False,occasional,863,real
nmxax17crfu6,3341,4157,43,49,True,True,False,0.008455800257972696,True,very_low,96,fake
Ivy Wilson,762,463,309,103,True,False,False,0.03764505723787033,False,regular,1430,real
Hannah Williams,39685,917,66,27,True,False,False,0.03399114563798846,False,occasional,538,real
Alice Miller84,59965,119,481,120,True,False,False,0.06403584670152006,False,regular,62,real
Charlie Miller,44133,796,488,29,True,False,False,0.0826034903047778,False,regular,1203,real
George Wilson,21273,1000,141,145,True,False,False,0.03818673619768986,False,occasional,931,real
Ivy Jones,26201,730,35,89,True,False,False,0.0957397661858312,False,regular,353,real
Member276Bot,3583,2197,2,39,False,True,False,0.018166686374483546,True,irregular,290,fake
Eve Williams,40392,345,202,148,True,False,False,0.09034699230846106,False,regular,551,real
Jack Miller,2806,632,179,134,True,False,True,0.0972045546318038,False,regular,357,real
Hannah Taylor25,59407,388,395,46,True,False,False,0.01993621407866647,False,regular,1521,real
Follower975Suspicious,4107,2696,49,5,True,True,False,0.015958277428554993,False,irregular,307,fake
Bob Smith,89166,127,17,33,True,True,False,0.02224760777809767,True,regular,1143,real
Eve Moore69,69804,95,26,89,True,True,False,0.04160603040115872,False,regular,915,real
Jack Taylor,12792,548,85,120,True,False,False,0.05768400308744099,False,occasional,1273,real
Ivy Taylor,74287,388,434,121,True,False,False,0.0924621625324187,False,occasional,346,real
4s_com8etr_xvzp,1783,3419,7,50,False,True,False,0.0161816911076561,True,very_low,63,fake
8z6x7vvk9jv9u,4867,2284,31,7,False,True,False,0.0019463186330341143,False,irregular,226,fake
David Brown,92152,729,259,89,True,False,False,0.07181972261192296,False,occasional,1176,real
Jack Jones,99938,623,368,29,True,True,False,0.013285777995236872,False,occasional,1232,real
Fiona Davis4,58524,520,400,51,True,False,False,0.060186325582328025,False,regular,72,real
Ivy Moore,60868,759,475,34,True,True,True,0.06906975366929725,False,regular,779,real
TechGadgetsShop3,3035,585,14,10,True,True,False,0.018182296453198906,False,irregular,111,fake
Jack Miller47,75160,886,482,46,True,False,False,0.06365577195970211,False,regular,270,real
David Williams12,78923,945,197,75,True,False,False,0.023263799554444894,False,consistent,602,real
Ivy Wilson,42033,198,275,148,True,False,False,0.060600531372526883,True,regular,510,real
TechGadgetsOnline1,2958,4732,35,1,False,True,False,0.0016616228612821237,False,spammy,4,fake
Alice Williams89,34890,81,317,98,True,False,False,0.08755127320649575,False,occasional,387,real
George Miller,50697,989,207,52,True,True,False,0.03905375878317701,False,consistent,86,real
Ivy Williams62,63811,858,184,121,True,True,False,0.05526433469060256,False,occasional,893,real
Ivy Smith92,26083,999,281,115,True,True,False,0.06354857439684464,False,regular,532,real
bdq1fc36kvxr1r,2576,3178,18,41,False,True,False,0.01417478058951166,True,spammy,56,fake
Ivy Miller,19232,941,163,80,True,False,False,0.06566442727704029,False,occasional,927,real
Alice Williams,88643,551,149,65,True,False,False,0.033259151049490884,False,regular,1584,real
Account368Fake,3092,1911,35,39,True,False,False,0.008979454119761518,True,very_low,263,fake
Alice Wilson,17322,647,145,135,True,False,False,0.08969292685367959,False,regular,597,real
Charlie Brown,81918,232,370,129,True,False,False,0.05604669235521991,False,occasional,162,real
Hannah Davis,35546,111,497,74,True,True,False,0.08382665814048691,True,regular,140,real
Jack Miller45,54295,39,355,102,True,False,False,0.0769930269435475,True,occasional,1608,real
John Smith1980,239,3862,17,32,False,True,False,0.015746415221868214,False,irregular,45,fake
TechGadgetsOfficial1,1207,758,15,43,False,True,False,0.006241671385929886,True,spammy,284,fake
TechGadgetsDeals4,3781,1808,15,32,True,False,False,0.01462472142422579,False,irregular,44,fake
AmazonDealsShop5,3538,4508,29,17,False,True,False,0.006364118268939836,True,irregular,310,fake
Hannah Anderson,56689,358,154,108,True,True,False,0.015866527189837377,False,consistent,1073,real
Eve Smith,54608,881,499,87,True,False,False,0.06813085292405806,False,regular,462,real
Eve Jones,17896,43,92,26,True,True,False,0.08270327489511343,False,regular,525,real
NikeShop5,2045,4863,30,1,True,True,False,0.000909693599841086,False,spammy,161,fake
Fiona Anderson,97549,716,348,97,True,False,False,0.015182157316226172,False,regular,123,real
Alice Anderson,5199,546,469,108,True,False,False,0.01740239707266712,False,regular,623,real
Eve Taylor,80558,185,146,105,True,False,False,0.0948359209184865,False,regular,1659,real
Eve Moore,39853,147,462,95,True,False,False,0.023644414021632358,False,regular,1552,real
Mary Brown1991,739,712,36,43,False,True,False,0.0021529206358570385,True,spammy,301,fake
John Smith1989,382,2955,38,8,False,False,False,0.01867219294237418,True,spammy,233,fake
_lb54u69wnlo7z,4842,4207,42,12,True,True,False,0.015774973450143597,True,irregular,300,fake
Alice Smith,14518,173,94,80,True,False,False,0.0978094870368561,False,regular,1302,real
Fiona Wilson,17468,886,36,116,True,False,False,0.08547631994054862,False,occasional,268,real
Hannah Wilson91,4806,946,303,133,True,False,False,0.05498476772765416,False,occasional,1688,real
Ivy Williams,6633,84,149,105,True,False,False,0.06799654108395906,False,regular,1010,real
Hannah Brown,81661,833,395,64,True,False,False,0.08234351349132245,False,consistent,1669,real
gqcc704ashzuu,2193,3603,30,18,True,False,False,0.0011650477578313122,True,very_low,87,fake
AdidasStore4,439,4742,46,5,False,True,False,0.019370158796138327,True,irregular,100,fake
Robert Jones2001,4955,1328,10,9,False,True,False,0.0017592943595119471,True,very_low,161,fake
gij2i5pqt43dki,4552,2369,4,18,False,True,False,0.008199497897484156,False,irregular,62,fake
edg7_0awys11a2,2551,4530,40,8,False,False,False,0.01348166496866056,False,very_low,30,fake
Michael Davis1982,35,1104,13,26,False,False,False,0.014842145818441907,False,spammy,307,fake
Charlie Anderson,84075,401,284,21,True,False,False,0.011104420647196503,False,regular,1135,real
Profile422Suspicious,3168,647,16,36,False,True,False,0.007469356779985244,False,irregular,44,fake
Follower970Fake,3140,3584,3,37,True,True,False,0.0030482296488026583,True,very_low,39,fake
Hannah Wilson52,11635,630,407,43,True,False,False,0.03081302881270194,False,regular,893,real
Bob Miller,39342,118,93,59,True,False,False,0.09537749053543243,False,regular,384,real
Follower373Suspicious,1554,929,6,49,False,False,False,0.01134397793811334,True,spammy,219,fake
34bml57sub0ie,3188,2345,0,49,False,False,False,0.014089548104023984,True,irregular,285,fake
George Wilson,13283,304,81,20,True,False,False,0.0593602154963111,False,consistent,889,real
Jack Taylor,5866,284,357,85,True,False,False,0.07179753956051757,False,occasional,1453,real
Member985Inactive,4884,4200,41,12,False,True,False,0.010954759342844385,True,very_low,285,fake
r09bzbc53z,3540,3327,46,28,False,False,False,0.012758327706796729,True,very_low,311,fake
George Davis44,77164,893,192,83,True,True,False,0.0856157105885275,False,occasional,1080,real
Alice Smith,75949,700,44,135,True,False,False,0.04878300775854536,False,regular,1586,real
ysogz8abt,2583,2803,40,35,False,False,False,0.007591814552810725,True,irregular,181,fake
David Wilson,15745,446,441,80,True,False,False,0.014162168627756776,False,regular,782,real
_50jke29lemli,881,2600,48,35,False,False,False,0.017523050143451086,False,irregular,90,fake
Follower224Online,419,1369,12,39,False,False,False,0.00788791206945475,False,spammy,218,fake
Hannah Miller20,58590,487,147,33,True,False,False,0.027312308363990873,False,regular,301,real
Jack Moore,10978,920,342,123,True,False,False,0.03639574715804028,False,regular,146,real
Eve Anderson,3596,83,350,25,True,False,False,0.0973777471757588,True,occasional,985,real
AmazonDealsOnline1,1999,2508,29,13,True,True,False,0.0005675768635209111,False,irregular,91,fake
George Taylor,56154,381,223,136,True,False,False,0.08782722193154438,False,occasional,956,real
Robert Jones2002,4265,1644,20,12,False,False,False,0.01991258850349843,False,very_low,213,fake
George Anderson,16922,981,433,118,True,True,False,0.02714968376382166,False,occasional,303,real
Fiona Smith,14694,443,15,122,True,True,False,0.09826005312502908,True,regular,626,real
AmazonDealsOfficial5,1708,2512,36,34,False,False,False,0.010942378105535234,True,irregular,134,fake
Profile546Spam,4105,1836,48,20,False,False,False,0.0022675785989432896,False,irregular,127,fake
Fiona Davis44,4352,638,410,50,True,False,False,0.03761862960732664,False,occasional,1709,real
TechGadgetsShop4,2631,3452,23,39,False,True,False,0.01918989863961552,True,spammy,153,fake
Bob Wilson,27039,420,18,62,True,False,False,0.014314408315324137,False,regular,1824,real
ttll8gzuz,4891,995,26,41,True,True,False,0.01673311637732546,False,irregular,254,fake
Charlie Miller,21316,520,292,51,True,True,False,0.013850745438590398,False,regular,1303,real
jic4auq5s5je0m,3177,1579,1,38,False,False,False,0.008588548462341757,True,spammy,320,fake
Hannah Smith,97508,266,430,141,True,False,False,0.019189897003488117,False,regular,1140,real
David Taylor,43069,632,459,25,True,False,False,0.062393226245821644,False,regular,1686,real
Eve Jones,38135,262,46,31,True,False,False,0.04114262430312565,False,regular,923,real
Profile894Spam,173,1950,38,32,True,True,False,0.013471200096486646,False,irregular,176,fake
John Smith2005,763,2638,50,38,False,False,False,0.004343860991635476,True,very_low,313,fake
Follower327Suspicious,671,4300,34,42,False,True,False,0.006938907399931575,False,spammy,255,fake
Fan568Suspicious,1104,3353,18,5,True,True,False,0.008300420416482667,True,very_low,45,fake
David Moore,34358,221,38,40,True,False,False,0.06935563036056966,False,regular,698,real
kzew1ir9tziq8d,732,3103,41,17,False,True,False,0.004271254614668498,True,spammy,56,fake
Eve Anderson,46697,766,204,111,True,False,False,0.047938323362758835,True,occasional,1182,real
AmazonDealsShop2,759,3031,42,24,False,False,False,0.016688398578024174,True,very_low,155,fake
Ivy Wilson81,86564,621,299,145,True,False,False,0.04707493857380173,False,regular,1740,real
David Williams,3699,932,239,54,True,False,False,0.014894939242451014,False,regular,1631,real
Fiona Wilson45,10429,49,386,122,True,False,False,0.029730272495727975,True,regular,1774,real
FashionNovaOfficial3,1875,1658,39,17,False,True,False,0.01229398783059829,True,spammy,300,fake
John Smith2000,1443,2923,46,48,True,True,False,0.013647007592872448,True,irregular,243,fake
Alice Taylor29,32912,726,107,96,True,False,False,0.026090036608463756,False,regular,462,real
Eve Brown,87452,935,55,123,True,False,False,0.045734505536913064,False,occasional,1563,real
Alice Brown,78153,682,247,86,True,True,False,0.04330861874993119,False,occasional,674,real
Fiona Williams,39439,705,493,30,True,False,False,0.05506320116983625,False,regular,1718,real
NikeOnline1,98,3346,48,16,False,True,False,0.015187074850821648,True,spammy,115,fake
John Smith1993,3232,648,11,46,False,True,False,0.004290469017794269,True,irregular,194,fake
Jack Jones,20625,431,154,57,True,False,False,0.032789553697995584,False,occasional,895,real
Jack Taylor,35854,801,151,141,True,True,False,0.04387433864591207,False,occasional,55,real
Charlie Brown,73118,61,289,120,True,False,False,0.04891649254922208,False,occasional,1337,real
George Taylor,90733,69,258,58,True,False,False,0.03804571513728608,False,regular,980,real
John Smith1984,4227,1754,13,1,False,False,False,0.0008171855647792126,True,irregular,219,fake
Charlie Williams95,40292,585,38,148,True,False,False,0.04358448299342021,False,consistent,931,real
David Smith,6462,339,7,117,True,False,False,0.0896534419669247,True,occasional,935,real
Eve Davis31,85556,400,88,59,True,False,False,0.0765661653892032,False,occasional,980,real
Hannah Miller,25085,12,254,147,True,False,False,0.05378510557177719,True,regular,603,real
Follower146Inactive,4527,742,3,37,False,False,False,0.00695900922864019,False,irregular,276,fake
Michael Davis1988,2510,3332,46,44,False,True,False,0.005822241302418643,False,irregular,16,fake
Fan638Fake,2709,4511,27,26,False,False,False,0.0015453805643168984,True,irregular,177,fake
jpe28_66f4r_vzf,4422,1096,32,39,False,False,False,0.019838634002579916,True,spammy,88,fake
David Williams,10586,445,244,64,True,False,False,0.05798334813270542,False,regular,1666,real
Fiona Smith28,30098,450,460,33,True,False,False,0.03400778213947434,False,regular,1211,real
Hannah Davis8,42985,953,216,47,True,False,False,0.015085476135617143,False,regular,479,real
Eve Brown4,48928,599,486,142,True,False,False,0.023973114167521112,False,occasional,1316,real
Jack Jones,2736,914,316,126,True,False,False,0.04320136834652755,False,occasional,1466,real
George Wilson,9190,24,428,55,True,True,False,0.06088554342857932,False,occasional,1644,real
pkj0ppr5xtt,3752,3646,35,15,True,True,False,0.019694171494069514,True,irregular,11,fake
NikeOfficial2,3709,938,24,30,True,False,False,0.017864179469827567,False,irregular,80,fake
George Miller,48885,635,246,65,True,False,False,0.0668234308778783,False,regular,1355,real
1ri70d4t,1350,1181,12,15,False,False,False,0.011661172034587941,False,very_low,165,fake
Alice Miller,59175,914,343,141,True,False,False,0.04119659817431092,False,regular,70,real
Bob Miller,62536,47,72,148,True,True,False,0.029055054298084797,False,regular,589,real
SheinOnline4,2570,4618,41,26,False,False,False,0.014079413362043432,True,irregular,281,fake
xabopl32,2447,1281,26,39,False,False,False,0.017629875106208167,True,irregular,230,fake
George Anderson,93397,164,336,125,True,False,False,0.03520730998100287,False,regular,1247,real
Profile233Online,2901,2952,37,2,False,False,False,0.007285492554722546,False,irregular,320,fake
Alice Smith,29421,820,114,103,True,True,False,0.026711293042224422,False,occasional,716,real
SheinOnline2,4354,888,20,37,False,True,False,0.006595845213508617,True,irregular,77,fake
FashionNovaOfficial2,386,707,28,20,False,False,False,0.013203997649625404,True,irregular,304,fake
Alice Smith32,65498,464,245,98,True,False,False,0.014098892931789217,False,consistent,882,real
AmazonDealsDeals3,739,3721,4,4,False,False,False,0.0121196730927483,True,irregular,49,fake
Fan655Bot,2784,1951,0,30,True,False,False,0.014323169144680788,False,irregular,64,fake
Charlie Taylor13,54041,450,112,99,True,True,False,0.042682939208952234,False,regular,1468,real
Jane Doe2003,3124,4470,1,17,False,True,False,0.009294793876557506,True,irregular,96,fake
Hannah Brown,28863,129,5,25,True,False,False,0.05827631707187978,False,regular,806,real
Member463Inactive,77,4379,38,15,False,True,False,0.017340247120359788,True,spammy,235,fake
Eve Jones38,65874,869,363,67,True,False,True,0.08979218822932557,False,regular,439,real
Jane Doe2003,4992,604,23,35,False,True,False,0.01831163618394443,True,irregular,320,fake
David Davis,56658,279,253,43,True,True,False,0.07397556694056452,False,regular,499,real
5uof4z065cnq4b,745,542,22,14,False,False,False,0.019082317844043916,False,irregular,70,fake
Eve Anderson,1249,105,80,116,True,False,False,0.08665413277122455,False,regular,441,real
Jane Doe1981,4225,2340,5,46,False,True,False,0.014364900659285513,True,spammy,312,fake
George Moore,631,951,347,85,True,False,False,0.06689726799777833,False,regular,503,real
Jack Davis,63744,682,172,140,True,True,False,0.08121822123990075,False,occasional,214,real
Account339Inactive,2134,3681,37,12,False,True,False,0.016339353597138794,True,spammy,259,fake
y7s53wqclwu0ma,1051,3425,47,38,True,True,False,0.00411556325551905,False,irregular,365,fake
AmazonDealsShop1,571,3633,20,1,False,True,False,0.015391794977726006,True,irregular,204,fake
Jack Davis,13404,832,75,25,True,False,False,0.09885870845088265,False,regular,70,real
Hannah Wilson,28747,314,291,149,True,False,False,0.013169714479331107,False,occasional,53,real
y_qhvm7f01,4322,3393,38,12,False,False,False,0.01323178287836113,True,irregular,291,fake
